ジョブコード,ジョブ名,請求先,契約形態,ジョブ種別,確度,状態,営業カンパニー,営業部門,制作カンパニー,制作部門,営業担当者,案件担当者,受注予定日,納品予定日,請求額,媒体費,売上,外注費,社売,社内原価,利益
MPJ-001234-010,MS統合プロジェクト（2026年4月分）,株式会社ABC,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山田太郎,佐藤花子,2026/4/1,2026/4/30,1500000,0,1500000,0,1500000,0,1500000
MPJ-001234-010,MS統合プロジェクト（2026年4月分）,株式会社ABC,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山田太郎,佐藤花子,2026/4/1,2026/4/30,350000,0,350000,0,350000,0,350000
MPJ-005678-010,大学館（2026年4月分）,株式会社ABC,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山田太郎,佐藤花子,2026/4/1,2026/4/30,500000,0,500000,0,500000,0,500000
MPJ-005678-011,大学館（2026年5月分）,株式会社ABC,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山田太郎,佐藤花子,2026/5/1,2026/5/31,500000,0,500000,0,500000,0,500000
MPJ-005678-013,大学館（2026年6月分）,株式会社ABC,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山田太郎,佐藤花子,2026/5/1,2026/5/31,500000,0,500000,0,500000,0,500000
MPJ-007890-014,地域DX推進（2026年7月分）,株式会社DEF,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,鈴木一郎,高橋美咲,2026/7/1,2026/7/31,620000,0,620000,0,620000,0,620000
MPJ-007890-015,地域DX推進（2026年8月分）,株式会社DEF,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,鈴木一郎,高橋美咲,2026/8/1,2026/8/31,640000,0,640000,0,640000,0,640000
MPJ-007890-016,地域DX推進（2026年9月分）,株式会社DEF,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,鈴木一郎,高橋美咲,2026/9/1,2026/9/30,660000,0,660000,0,660000,0,660000
MPJ-007890-017,地域DX推進（2026年10月分）,株式会社DEF,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,鈴木一郎,高橋美咲,2026/10/1,2026/10/31,680000,0,680000,0,680000,0,680000
MPJ-009101-018,店舗分析基盤（2026年7月分）,株式会社GHI,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,中村健,小林葵,2026/7/1,2026/7/31,450000,0,450000,0,450000,0,450000
MPJ-009101-019,店舗分析基盤（2026年8月分）,株式会社GHI,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,中村健,小林葵,2026/8/1,2026/8/31,470000,0,470000,0,470000,0,470000
MPJ-009101-020,店舗分析基盤（2026年9月分）,株式会社GHI,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,中村健,小林葵,2026/9/1,2026/9/30,490000,0,490000,0,490000,0,490000
MPJ-009101-021,店舗分析基盤（2026年10月分）,株式会社GHI,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,中村健,小林葵,2026/10/1,2026/10/31,510000,0,510000,0,510000,0,510000
MPJ-011213-022,広告最適化改善（2026年11月分）,株式会社JKL,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,井上誠,斎藤由奈,2026/11/1,2026/11/30,830000,0,830000,0,830000,0,830000
MPJ-011213-023,広告最適化改善（2026年12月分）,株式会社JKL,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,井上誠,斎藤由奈,2026/12/1,2026/12/31,860000,0,860000,0,860000,0,860000
MPJ-011213-024,広告最適化改善（2027年1月分）,株式会社JKL,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,井上誠,斎藤由奈,2027/1/1,2027/1/31,890000,0,890000,0,890000,0,890000
MPJ-011213-025,広告最適化改善（2027年2月分）,株式会社JKL,準委任契約,制作（構築）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,井上誠,斎藤由奈,2027/2/1,2027/2/28,920000,0,920000,0,920000,0,920000
MPJ-014151-026,会員基盤刷新（2026年11月分）,株式会社MNO,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,木村拓,清水理沙,2026/11/1,2026/11/30,710000,0,710000,0,710000,0,710000
MPJ-014151-027,会員基盤刷新（2026年12月分）,株式会社MNO,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,木村拓,清水理沙,2026/12/1,2026/12/31,730000,0,730000,0,730000,0,730000
MPJ-014151-028,会員基盤刷新（2027年1月分）,株式会社MNO,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,木村拓,清水理沙,2027/1/1,2027/1/31,750000,0,750000,0,750000,0,750000
MPJ-014151-029,会員基盤刷新（2027年2月分）,株式会社MNO,準委任契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,木村拓,清水理沙,2027/2/1,2027/2/28,770000,0,770000,0,770000,0,770000
MPJ-016171-030,分析運用支援（2026年7月分）,株式会社PQR,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,阿部翔,松本彩,2026/7/1,2026/7/31,380000,0,380000,0,380000,0,380000
MPJ-016171-031,分析運用支援（2026年8月分）,株式会社PQR,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,阿部翔,松本彩,2026/8/1,2026/8/31,400000,0,400000,0,400000,0,400000
MPJ-016171-032,分析運用支援（2026年9月分）,株式会社PQR,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,阿部翔,松本彩,2026/9/1,2026/9/30,420000,0,420000,0,420000,0,420000
MPJ-016171-033,分析運用支援（2026年10月分）,株式会社PQR,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,阿部翔,松本彩,2026/10/1,2026/10/31,440000,0,440000,0,440000,0,440000
MPJ-020001-001,（新規EC立ち上げ_2026年4月分）,株式会社STU,請負契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,田中直樹,吉田未来,2026/4/1,2026/4/30,980000,0,980000,120000,860000,110000,750000
MPJ-020001-002,（新規EC立ち上げ_2026年5月分）,株式会社STU,請負契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,田中直樹,吉田未来,2026/5/1,2026/5/31,1020000,0,1020000,140000,880000,130000,750000
MPJ-020001-003,（新規EC立ち上げ_2026年6月分）,株式会社STU,請負契約,制作（構築）,A,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,田中直樹,吉田未来,2026/6/1,2026/6/30,1100000,0,1100000,180000,920000,160000,760000
MPJ-020145-010,短期PoC支援（2026年8月分）,株式会社VWX,準委任契約,制作（運用）,S,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,前田優,長谷川楓,2026/8/1,2026/8/31,300000,0,300000,0,300000,40000,260000
MPJ-020278-020,既存サイト改善（2026年9月分）,株式会社YZA,準委任契約,制作（構築）,B,按分,DX/AIカンパニー,DX/AI営業部,DX/AIカンパニー,DX/AI制作部,山口航,岡田奈緒,2026/9/1,2026/9/30,250000,0,250000,30000,220000,25000,195000
